"","Soil_ID","K_fix","K_mg_kg","K_cmol","Ca_cmol","Mg_cmol","Na_cmol","CEC_cmol","clay_pct","silt_pct","sand_pct","x","y","coords.x1","coords.x2","optional"
"71","MC 210 C",NA,301.766666666667,0.766666666666667,9.96666666666667,2.6,0.033333333333333,NA,22.9882507566667,29.9346098166667,47.0771394333333,-121.01435,38.246536,-121.01435,38.246536,TRUE
"72","MC 210 D",NA,346.566666666667,0.933333333333333,10.9333333333333,2.43333333333333,0,NA,23.76392519,20.66911761,55.5669572,-121.01435,38.246178,-121.01435,38.246178,TRUE
"73","MC 227 A",-177.533333333333,175.133333333333,0.433333333333333,9.2,2.4,0.033333333333333,NA,24.9251309666667,27.1113212533333,47.96354778,-121.01297,38.24904,-121.01297,38.24904,TRUE
"74","Pit 1",-555.6,619,1.6,14.0666666666667,2.53333333333333,0,17.6333333333333,29.89,29.2233333333333,40.88,-121.228609,38.080147,-121.228609,38.080147,TRUE
"75","Pit 10",30.9433333333333,99.9,0.273333333333333,8.12,3.22666666666667,0,10.7833333333333,15.551,29.365,55.084,-121.155875,38.288977,-121.155875,38.288977,TRUE
"76","Pit 11",-280.633333333333,304.2,0.766666666666667,5.50666666666667,1.21333333333333,0,9.30666666666667,31.6766666666667,31.4986666666667,36.82,-121.147179,38.284831,-121.147179,38.284831,TRUE
"77","Pit 13",-327.723333333333,359.233333333333,0.903333333333333,9.15333333333333,3.64333333333333,0.066666666666667,13.84,14.5186666666667,25.2883333333333,60.1896666666667,-121.040093,38.188486,-121.040093,38.188486,TRUE
"78","Pit 14",-237.46,313.8,0.82,13.26,5.46,0.14,18.1,30.46,46.546,22.994,-121.045798,38.194459,-121.045798,38.194459,TRUE
"79","Pit 15",-77.8366666666667,184.233333333333,0.453333333333333,12.2,6.62333333333333,0.173333333333333,19.2166666666667,34.2506666666667,41.7683333333333,23.981,-121.046297,38.198403,-121.046297,38.198403,TRUE
"80","Pit 16",-404.28,425.6,1.05333333333333,10.1066666666667,4.39333333333333,0,14.4366666666667,17.4513333333333,9.28966666666667,73.259,-121.039526,38.187802,-121.039526,38.187802,TRUE
"81","Pit 17",-245.55,308,0.8,3.3,1.2,0,5,17.56155364,26.55296638,55.88547998,-121.208177,38.208244,-121.208177,38.208244,TRUE
"82","Pit 18",-117.92,163.91,0.44,3.72,1.88,0.1,6.36,18.06205471,31.33183727,50.606108024,-121.208187,38.210885,-121.208187,38.210885,TRUE
"83","Pit 19",-199.98,259.14,0.68,3.82,2.02,0.1,6.5,23.73645652,25.361492924,50.90205056,-121.217046,38.210171,-121.217046,38.210171,TRUE
"84","Pit 2",-67.34,285.7,0.72,13.68,4.73,0.17,17.27,32.066,30.518,37.416,-121.228843,38.082232,-121.228843,38.082232,TRUE
"85","Pit 20",26.2866666666667,150.553333333333,0.406666666666667,5.34,1.95333333333333,0.1,6.52666666666667,25.8106124426667,25.115482704,49.0739048533333,-121.185039,38.212177,-121.185039,38.212177,TRUE
"86","Pit 21",-142.2,155.166666666667,0.366666666666667,4.93333333333333,1.16666666666667,0.1,5.23333333333333,15.4376384666667,30.06216728,54.5001942533333,-121.189501,38.212846,-121.189501,38.212846,TRUE
"87","Pit 3",-167.613333333333,390.733333333333,0.976666666666667,23.3666666666667,9.24,0.213333333333333,28.3633333333333,45.72,37.035,17.245,-121.233278,38.078469,-121.233278,38.078469,TRUE
"88","Pit 4",-239.383333333333,169.466666666667,0.43,13.67,6.25333333333333,0.226666666666667,16.35,9.56366666666667,28.2393333333333,62.1926666666667,-121.227602,38.09209,-121.227602,38.09209,TRUE
"89","Pit 5",-70.6333333333333,194.333333333333,0.466666666666667,3.36666666666667,0.9,0,5,10.7433333333333,23.5266666666667,65.7333333333333,-121.224462,38.093187,-121.224462,38.093187,TRUE
"90","RM R",107.6,51.2333333333333,0.1,34.1,14.2333333333333,0.366666666666667,NA,14.01157302,21.2552922633333,64.4731626433333,-121.086038,38.144232,-121.086038,38.144232,TRUE
"91","RM S",-24.1666666666667,52.2666666666667,0.1,19.6333333333333,6.86666666666667,0.2,NA,11.875555168,22.1423370466667,65.85954426,-121.086936,38.14428,-121.086936,38.14428,TRUE
"92","RM T",36.2666666666667,46.3333333333333,0.1,28.9333333333333,13.9333333333333,0.366666666666667,NA,20.9508268966667,28.3088109766667,50.32873258,-121.087451,38.144318,-121.087451,38.144318,TRUE
"93","RM U",30.0666666666667,51.8333333333333,0.1,31.1,16.5333333333333,0.4,NA,15.60203227,24.7291951933333,59.34480664,-121.088949,38.144388,-121.088949,38.144388,TRUE
"94","RM V",-18.5666666666667,41.3,0.1,21.9,9.1,0.166666666666667,NA,12.01239799,35.6417919066667,52.2111747733333,-121.090166,38.144374,-121.090166,38.144374,TRUE
"95","RM W",-54.4333333333333,84.8,0.2,32.7,10.5333333333333,0.366666666666667,NA,16.05166437,36.0053076533333,47.6133883933333,-121.09077,38.144374,-121.09077,38.144374,TRUE
"96","RM X",-23.3666666666667,46.2,0.1,22.2333333333333,9.36666666666667,0.1,NA,13.04939981,36.3402517533333,50.4581556166667,-121.092164,38.144361,-121.092164,38.144361,TRUE
