"","Soil.ID","K_fix","K_mg_kg","K_cmol","Ca_cmol","Mg_cmol","Na_cmol","CEC_cmol","clay_pct","silt_pct","sand_pct","x","y"
"1","BH A",NA,480.44,1.26,31.18,16.96,0.22,39.94,39.006097082,20.441158416,40.552744502,-121.0268276,38.23970781
"2","BH B",NA,772.3,1.97142857142857,26.8857142857143,13.7,0.185714285714286,33.9571428571429,39.7727253571429,29.0560865,31.17118814,-121.0265062,38.23971594
"3","BH C",NA,295.666666666667,0.766666666666667,13.6666666666667,5.43333333333333,0.166666666666667,17.7333333333333,21.38838598,38.1836625066667,40.4279515133333,-121.0262494,38.23971218
"4","BH D",-65.2428571428571,125.828571428571,0.328571428571429,15.9142857142857,9.2,0.385714285714286,25.2714285714286,44.2713266228571,27.3735578328571,28.35511555,-121.0257462,38.23971612
"5","BH E",-109.385714285714,155.357142857143,0.385714285714286,15.8428571428571,9.7,0.528571428571429,24.6571428571429,43.8195513542857,21.6480912414286,34.5323574071429,-121.0252918,38.23971172
"6","BH F",NA,112.257142857143,0.3,4.92857142857143,2.35714285714286,0.0571428571428571,7.28571428571429,9.53006154857143,5.60656113671429,84.8633773185714,-121.0240611,38.23971524
"7","BH G",-91.35,114.233333333333,0.283333333333333,10.9,10.0833333333333,0.1,19.6666666666667,34.6289167216667,16.4708875,48.9001957716667,-121.0264443,38.2427951
"8","BH H",-21.2571428571429,131.928571428571,0.328571428571429,16.6285714285714,11.3571428571429,2.02857142857143,26.8428571428571,53.0905324128571,27.0189964057143,19.8904711857143,-121.0275596,38.23726995
"9","BH I",-1.44285714285714,106.171428571429,0.271428571428571,21.1714285714286,11.2571428571429,1.55714285714286,29.2142857142857,57.8468580557143,27.66282497,14.4903169742857,-121.0271165,38.23727317
"10","Carlson A",-97.2285714285714,138.185714285714,0.35,16.2785714285714,8.22142857142857,0.385714285714286,26.4714285714286,32.2038131457143,52.1852430642857,15.610943795,-121.037229,38.016358
"11","Carlson B",125.678571428571,118.7,0.3,17.5928571428571,9.12142857142857,0.192857142857143,25.7571428571429,34.44893959,41.1929469671429,24.3581134471429,-121.035187,38.016883
"12","Carlson C",156.471428571429,93.6142857142857,0.242857142857143,18.8571428571429,10.1142857142857,1.25714285714286,24.4714285714286,30.52971185,45.91259913,23.5576890185714,-121.030935,38.016992
"13","Carlson D",69.9714285714286,96.2571428571429,0.242857142857143,20.0285714285714,10.7285714285714,0.9,30.9714285714286,42.5094325585714,42.5702566128571,14.9203108242857,-121.034642,38.015117
"14","Carlson E",-104.242857142857,116.442857142857,0.3,29.8857142857143,14.3571428571429,0.728571428571429,29.5428571428571,39.5850923728571,34.8389195557143,25.5759880714286,-121.030109,38.014266
"15","Carlson F",-49.0142857142857,117.457142857143,0.328571428571429,22.8428571428571,12.8142857142857,1.01428571428571,31.0571428571429,37.8137606985714,38.7920418985714,23.3941974028571,-121.029026,38.012157
